context_label,repeats,run,ts_inicio,ts_fim,ts_first_chunk_ollama,ttft_ms,prompt_eval_count,prompt_eval_duration_ms,load_duration_ms,eval_count,eval_duration_ms,total_duration_ms,peak_ollama_ram_used_mb,avg_ollama_ram_used_mb,avg_ollama_cpu_percent
~256,1,1,2026-06-23T20:49:23.250,2026-06-23T20:49:25.398,2026-06-23T23:49:23.449512956Z,199.69,253,20.61,174.65,100,1946.63,2144.95,551.46,551.46,4.12
~256,1,2,2026-06-23T20:49:25.399,2026-06-23T20:49:27.520,2026-06-23T23:49:25.595899349Z,196.85,253,19.22,174.0,100,1922.52,2118.4,551.55,551.54,3.89
~256,1,3,2026-06-23T20:49:27.522,2026-06-23T20:49:29.677,2026-06-23T23:49:27.724918419Z,203.23,253,19.61,178.33,100,1949.89,2151.75,551.79,551.77,4.09
~256,1,4,2026-06-23T20:49:29.678,2026-06-23T20:49:31.843,2026-06-23T23:49:29.89477905Z,216.5,253,19.61,192.13,100,1945.32,2160.63,551.93,550.79,3.9
~256,1,5,2026-06-23T20:49:31.845,2026-06-23T20:49:33.987,2026-06-23T23:49:32.052518337Z,207.46,253,20.42,182.64,100,1932.91,2138.93,552.16,551.58,3.99
~512,2,1,2026-06-23T20:49:36.280,2026-06-23T20:49:38.425,2026-06-23T23:49:36.471857895Z,191.71,477,19.32,166.89,100,1951.57,2142.43,552.31,552.3,3.89
~512,2,2,2026-06-23T20:49:38.427,2026-06-23T20:49:40.598,2026-06-23T23:49:38.638017796Z,211.2,477,21.71,177.53,100,1958.47,2168.27,553.41,553.4,4.04
~512,2,3,2026-06-23T20:49:40.599,2026-06-23T20:49:42.784,2026-06-23T23:49:40.808442798Z,208.86,477,19.27,185.4,100,1967.02,2174.99,553.55,553.55,4.06
~512,2,4,2026-06-23T20:49:42.786,2026-06-23T20:49:44.953,2026-06-23T23:49:42.995667395Z,209.57,477,19.15,185.33,100,1955.14,2163.53,553.86,553.83,3.94
~512,2,5,2026-06-23T20:49:44.955,2026-06-23T20:49:47.098,2026-06-23T23:49:45.146896945Z,191.5,477,19.07,167.98,100,1948.54,2139.04,551.36,551.36,3.91
~1024,4,1,2026-06-23T20:49:53.769,2026-06-23T20:49:55.914,2026-06-23T23:49:53.968202637Z,198.87,925,18.6,173.42,100,1942.98,2140.67,619.89,619.64,3.88
~1024,4,2,2026-06-23T20:49:55.916,2026-06-23T20:49:58.075,2026-06-23T23:49:56.117026841Z,201.27,925,18.61,177.2,100,1955.87,2156.09,620.05,619.98,3.86
~1024,4,3,2026-06-23T20:49:58.076,2026-06-23T20:50:00.234,2026-06-23T23:49:58.275726038Z,199.73,925,20.04,172.8,100,1955.95,2154.87,621.41,620.19,3.9
~1024,4,4,2026-06-23T20:50:00.236,2026-06-23T20:50:02.400,2026-06-23T23:50:00.442448058Z,206.84,925,18.67,182.45,100,1955.33,2161.0,618.81,618.69,3.85
~1024,4,5,2026-06-23T20:50:02.401,2026-06-23T20:50:04.556,2026-06-23T23:50:02.601353872Z,200.54,925,18.64,176.92,100,1953.04,2152.72,621.8,620.96,3.85
~2048,8,1,2026-06-23T20:50:07.356,2026-06-23T20:50:09.535,2026-06-23T23:50:07.544095104Z,188.43,1821,19.27,161.92,100,1987.47,2175.07,621.2,621.2,3.82
~2048,8,2,2026-06-23T20:50:09.536,2026-06-23T20:50:11.742,2026-06-23T23:50:09.747698843Z,211.16,1821,19.23,171.89,100,1989.88,2199.89,621.49,621.47,3.8
~2048,8,3,2026-06-23T20:50:11.744,2026-06-23T20:50:13.957,2026-06-23T23:50:11.968605615Z,224.34,1821,19.51,192.5,100,1985.83,2208.93,621.99,621.94,3.92
~2048,8,4,2026-06-23T20:50:13.959,2026-06-23T20:50:16.144,2026-06-23T23:50:14.151005033Z,192.19,1821,19.0,165.73,100,1990.2,2181.59,621.84,621.7,3.86
~2048,8,5,2026-06-23T20:50:16.146,2026-06-23T20:50:18.347,2026-06-23T23:50:16.35149563Z,205.14,1821,19.02,178.57,100,1990.16,2194.07,621.89,621.79,3.85
~4096,16,1,2026-06-23T20:50:21.852,2026-06-23T20:50:24.109,2026-06-23T23:50:22.056952973Z,205.14,3613,20.16,165.02,100,2045.54,2249.76,623.61,623.61,3.83
~4096,16,2,2026-06-23T20:50:24.111,2026-06-23T20:50:26.374,2026-06-23T23:50:24.314267841Z,203.39,3613,19.78,168.12,100,2051.3,2254.19,624.39,624.08,3.71
~4096,16,3,2026-06-23T20:50:26.376,2026-06-23T20:50:28.638,2026-06-23T23:50:26.585517226Z,209.34,3613,20.2,171.23,100,2047.52,2255.79,624.88,624.88,3.83
~4096,16,4,2026-06-23T20:50:28.640,2026-06-23T20:50:30.898,2026-06-23T23:50:28.84250033Z,202.79,3613,20.15,169.4,100,2049.88,2252.12,626.0,625.41,3.77
~4096,16,5,2026-06-23T20:50:30.900,2026-06-23T20:50:33.156,2026-06-23T23:50:31.105421935Z,205.58,3613,20.01,167.05,100,2045.9,2250.39,624.84,624.84,3.79
