timestamp,elapsed_s,cpu_percent,ram_used_mb,ram_percent,peak_ram_used_mb,ollama_cpu_percent,ollama_cpu_percent_norm,ollama_ram_used_mb,peak_ollama_ram_used_mb
2026-06-23T20:47:02.043,0.07,18.2,12991.23,82.8,12991.23,0.0,0.0,582.4,582.4
2026-06-23T20:47:02.279,0.31,7.1,12991.47,82.8,12991.47,0.0,0.0,582.4,582.4
2026-06-23T20:47:02.519,0.55,6.3,12991.68,82.8,12991.68,0.0,0.0,582.4,582.4
2026-06-23T20:47:02.751,0.78,5.5,12995.52,82.8,12995.52,0.0,0.0,582.4,582.4
2026-06-23T20:47:02.987,1.02,5.8,12995.73,82.8,12995.73,0.0,0.0,582.4,582.4
2026-06-23T20:47:03.220,1.25,7.6,12970.89,82.6,12995.73,0.0,0.0,582.4,582.4
2026-06-23T20:47:03.454,1.49,9.0,12979.85,82.7,12995.73,0.0,0.0,582.4,582.4
2026-06-23T20:47:03.690,1.72,11.6,12978.86,82.7,12995.73,0.0,0.0,582.4,582.4
2026-06-23T20:47:03.923,1.95,5.8,12978.38,82.7,12995.73,0.0,0.0,582.4,582.4
2026-06-23T20:47:04.156,2.19,8.0,12958.43,82.6,12995.73,4.3,0.36,582.4,582.4
2026-06-23T20:47:04.393,2.42,10.8,13017.66,82.9,13017.66,0.0,0.0,582.4,582.4
2026-06-23T20:47:04.629,2.66,15.4,13047.72,83.1,13047.72,0.0,0.0,582.4,582.4
2026-06-23T20:47:04.864,2.9,6.5,13047.54,83.1,13047.72,0.0,0.0,582.4,582.4
2026-06-23T20:47:05.100,3.13,14.4,13081.5,83.3,13081.5,34.0,2.83,586.96,586.96
2026-06-23T20:47:05.336,3.37,17.2,13081.35,83.3,13081.5,101.5,8.46,587.8,587.8
2026-06-23T20:47:05.571,3.6,10.4,13081.84,83.4,13081.84,46.9,3.91,588.01,588.01
2026-06-23T20:47:05.805,3.84,10.5,13081.19,83.3,13081.84,34.1,2.84,588.01,588.01
2026-06-23T20:47:06.042,4.07,27.8,13095.91,83.4,13095.91,42.2,3.52,587.01,588.01
2026-06-23T20:47:06.277,4.31,9.1,12988.14,82.8,13095.91,46.8,3.9,587.01,588.01
2026-06-23T20:47:06.511,4.54,9.0,12987.85,82.8,13095.91,38.6,3.22,587.01,588.01
2026-06-23T20:47:06.745,4.78,9.8,12988.04,82.8,13095.91,38.5,3.21,587.01,588.01
2026-06-23T20:47:06.977,5.01,11.5,12988.11,82.8,13095.91,38.6,3.22,587.01,588.01
2026-06-23T20:47:07.212,5.24,10.8,13003.92,82.9,13095.91,38.3,3.19,587.01,588.01
2026-06-23T20:47:07.446,5.48,10.6,13004.84,82.9,13095.91,42.8,3.57,587.01,588.01
2026-06-23T20:47:07.679,5.71,10.5,13005.3,82.9,13095.91,42.9,3.57,587.01,588.01
2026-06-23T20:47:07.914,5.95,11.6,13006.1,82.9,13095.91,34.2,2.85,587.02,588.01
2026-06-23T20:47:08.149,6.18,11.6,13005.06,82.9,13095.91,42.4,3.53,587.02,588.01
2026-06-23T20:47:08.394,6.43,12.8,13005.32,82.9,13095.91,41.2,3.43,587.03,588.01
2026-06-23T20:47:08.631,6.66,12.1,13007.28,82.9,13095.91,41.9,3.49,587.04,588.01
2026-06-23T20:47:08.866,6.9,10.0,13007.76,82.9,13095.91,33.9,2.82,587.05,588.01
2026-06-23T20:47:09.100,7.13,8.6,13008.27,82.9,13095.91,42.5,3.54,587.06,588.01
2026-06-23T20:47:09.333,7.36,8.7,13008.47,82.9,13095.91,38.8,3.23,587.07,588.01
