timestamp,elapsed_s,cpu_percent,ram_used_mb,ram_percent,peak_ram_used_mb,ollama_cpu_percent,ollama_cpu_percent_norm,ollama_ram_used_mb,peak_ollama_ram_used_mb
2026-06-12T18:36:56.113,0.02,14.3,10315.74,63.9,10315.74,0.0,0.0,738.62,738.62
2026-06-12T18:36:56.616,0.52,10.9,10309.49,63.8,10315.74,0.0,0.0,738.62,738.62
2026-06-12T18:36:57.122,1.03,10.4,10316.07,63.9,10316.07,0.0,0.0,738.62,738.62
2026-06-12T18:36:57.626,1.53,9.4,10304.87,63.8,10316.07,0.0,0.0,738.62,738.62
2026-06-12T18:36:58.129,2.03,9.7,10336.82,64.0,10336.82,0.0,0.0,738.62,738.62
2026-06-12T18:36:58.635,2.54,9.8,10336.18,64.0,10336.82,0.0,0.0,738.62,738.62
2026-06-12T18:36:59.139,3.05,9.1,10348.77,64.1,10348.77,0.0,0.0,738.62,738.62
2026-06-12T18:36:59.642,3.55,15.6,10389.89,64.3,10389.89,105.6,8.8,756.12,756.12
2026-06-12T18:37:00.145,4.05,22.1,10390.59,64.3,10390.59,105.7,8.81,756.0,756.12
2026-06-12T18:37:00.649,4.56,17.8,10387.07,64.3,10390.59,96.1,8.01,758.5,758.5
2026-06-12T18:37:01.153,5.06,21.7,10379.53,64.3,10390.59,86.8,7.23,758.5,758.5
2026-06-12T18:37:01.656,5.56,17.8,10370.61,64.2,10390.59,96.3,8.03,759.47,759.47
2026-06-12T18:37:02.159,6.06,17.2,10370.85,64.2,10390.59,102.5,8.54,759.47,759.47
2026-06-12T18:37:02.662,6.57,15.7,10369.12,64.2,10390.59,93.2,7.77,759.64,759.64
2026-06-12T18:37:03.164,7.07,21.6,10368.82,64.2,10390.59,112.0,9.33,760.86,760.86
2026-06-12T18:37:03.667,7.57,23.4,10380.31,64.3,10390.59,99.3,8.28,763.45,763.45
2026-06-12T18:37:04.172,8.08,17.2,10380.79,64.3,10390.59,99.1,8.26,763.45,763.45
2026-06-12T18:37:04.675,8.58,15.8,10372.96,64.2,10390.59,102.4,8.53,765.91,765.91
2026-06-12T18:37:05.179,9.08,14.0,10375.93,64.3,10390.59,108.5,9.04,766.34,766.34
2026-06-12T18:37:05.682,9.59,17.5,10366.93,64.2,10390.59,96.3,8.03,766.34,766.34
2026-06-12T18:37:06.185,10.09,16.0,10361.58,64.2,10390.59,96.2,8.02,768.38,768.38
2026-06-12T18:37:06.688,10.59,17.3,10358.16,64.1,10390.59,102.5,8.54,768.39,768.39
2026-06-12T18:37:07.191,11.1,22.9,10361.11,64.2,10390.59,108.8,9.07,769.67,769.67
2026-06-12T18:37:07.694,11.6,15.3,10339.64,64.0,10390.59,96.2,8.02,769.68,769.68
2026-06-12T18:37:08.198,12.1,15.6,10314.51,63.9,10390.59,114.7,9.56,772.26,772.26
2026-06-12T18:37:08.701,12.61,28.5,10362.41,64.2,10390.59,99.3,8.28,773.38,773.38
2026-06-12T18:37:09.206,13.11,28.9,10353.2,64.1,10390.59,99.2,8.27,776.01,776.01
2026-06-12T18:37:09.709,13.61,24.5,10333.34,64.0,10390.59,111.8,9.32,776.02,776.02
2026-06-12T18:37:10.212,14.12,20.2,10351.54,64.1,10390.59,102.5,8.54,776.6,776.6
2026-06-12T18:37:10.715,14.62,15.2,10346.77,64.1,10390.59,102.5,8.54,776.6,776.6
2026-06-12T18:37:11.217,15.12,16.8,10355.2,64.1,10390.59,105.7,8.81,778.55,778.55
2026-06-12T18:37:11.720,15.63,15.6,10343.95,64.1,10390.59,99.4,8.28,778.39,778.55
2026-06-12T18:37:12.223,16.13,21.1,10347.91,64.1,10390.59,108.8,9.07,780.15,780.15
