run,ts_inicio,ts_fim,ts_first_chunk_ollama,ttft_ms,tps,peak_ollama_ram_used_mb,avg_ollama_ram_used_mb,avg_ollama_cpu_percent,rei,load_duration:,prompt_eval_count:,prompt_eval_duration:,eval_count:,eval_duration:,total_duration:
9,2026-06-12T18:37:06.824,2026-06-12T18:37:07.680,2026-06-12T21:37:06.9544174Z,131.24,58.5,769.67,769.67,9.07,8.581243,108.83,30,17.42,40,683.75,853.09
8,2026-06-12T18:37:05.722,2026-06-12T18:37:06.816,2026-06-12T21:37:05.8536906Z,132.34,58.14,768.39,768.38,8.28,9.357467,110.15,30,17.33,53,911.6,1091.14
14,2026-06-12T18:37:10.838,2026-06-12T18:37:11.586,2026-06-12T21:37:10.9707681Z,133.51,58.67,778.55,778.55,8.81,8.759557,110.52,30,17.23,34,579.47,745.56
2,2026-06-12T18:37:00.179,2026-06-12T18:37:01.391,2026-06-12T21:37:00.3130906Z,134.76,58.47,758.5,758.5,7.62,10.35893,110.62,30,18.12,59,1009.08,1208.03
11,2026-06-12T18:37:08.352,2026-06-12T18:37:09.028,2026-06-12T21:37:08.4876267Z,135.65,58.86,773.38,773.38,8.28,9.411962,112.36,30,17.56,30,509.7,673.46
10,2026-06-12T18:37:07.687,2026-06-12T18:37:08.346,2026-06-12T21:37:07.8229314Z,136.01,58.9,772.26,770.97,8.79,8.884389,112.4,30,17.51,29,492.4,655.49
6,2026-06-12T18:37:04.161,2026-06-12T18:37:04.821,2026-06-12T21:37:04.2996533Z,138.74,58.89,765.91,764.68,8.39,9.385023,116.41,30,17.12,29,492.41,657.12
5,2026-06-12T18:37:03.498,2026-06-12T18:37:04.155,2026-06-12T21:37:03.6357575Z,138.96,59.39,763.45,763.45,8.28,9.620838,116.13,30,17.53,29,488.29,654.47
4,2026-06-12T18:37:02.595,2026-06-12T18:37:03.490,2026-06-12T21:37:02.733392Z,139.18,58.94,760.86,760.25,8.55,9.277709,116.52,30,17.35,42,712.59,892.61
7,2026-06-12T18:37:04.829,2026-06-12T18:37:05.713,2026-06-12T21:37:04.9721242Z,144.32,58.86,766.34,766.34,8.54,9.209874,120.8,30,17.95,41,696.55,881.38
15,2026-06-12T18:37:11.593,2026-06-12T18:37:12.466,2026-06-12T21:37:11.7413006Z,149.6,58.61,780.15,779.27,8.68,8.862904,126.52,30,18.31,40,682.47,871.3
3,2026-06-12T18:37:01.399,2026-06-12T18:37:02.587,2026-06-12T21:37:01.5588563Z,160.79,59.24,759.47,759.47,8.29,9.63556,138.46,30,17.51,57,962.13,1185.79
12,2026-06-12T18:37:09.035,2026-06-12T18:37:09.950,2026-06-12T21:37:09.1979015Z,163.43,58.14,776.02,776.01,8.79,8.727752,141.2,30,17.23,41,705.21,913.46
